Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT
501,15032,28,15260.87741,16429.31577,1397.315768,
502,15055,21,15443.6938,16282.07353,1227.073531,
503,15086,12,15740.81948,16735.93003,1649.930027,
504,15111,11,15752.10312,16580.88838,1469.88838,
505,15139,10,15466.91372,15954.39618,815.3961772,
506,15169,24,15610.43121,16155.05627,986.0562671,
507,15200,25,15688.46958,16092.07843,892.0784292,
508,15226,2,15874.22296,16051.5024,825.5023959,
509,15247,2,15424.27944,16507.07701,1260.077008,
510,15269,2,16147.938,16905.18168,1636.181682,
511,15290,2,16123.80154,17026.81039,1736.810394,
512,15316,2,16094.4613,16449.60916,1133.609159,
513,15352,2,15696.64039,15884.39382,532.3938201,
514,15381,14,15425.65817,16710.11722,1329.117217,
515,15412,20,16150.45582,17059.98592,1647.98592,
516,15446,2,15793.84479,16108.71964,662.7196363,
517,15471,3,15941.59971,16128.21396,657.2139642,
518,15499,31,16092.31779,16973.64463,1474.644631,
519,15533,13,15854.66827,16641.72119,1108.721186,
520,15566,23,16073.95766,17009.78027,1443.780272,
521,15599,6,15931.453,16561.21849,962.2184897,
522,15617,17,15973.54945,16884.05184,1267.051839,
523,15643,4,15960.93238,16478.22354,835.2235394,
524,15687,8,16119.75051,16545.87725,858.8772472,
525,15714,10,16183.5686,16663.84883,949.8488341,
526,15743,15,16023.0448,17034.0881,1291.088104,
527,15768,3,16230.21887,17134.85405,1366.854054,
528,15793,22,16052.55539,16847.14005,1054.140045,
529,15825,25,16381.37067,16864.96222,1039.962224,
530,15859,8,16257.91721,17317.0971,1458.097097,
