,1800,3600,5400,7200,9000,10800,12600,14400,16200,18000,19800,21600,23400,25200,27000,28800,30600,32400,34200,36000,37800,39600,41400,43200,45000,46800,48600,50400,52200,54000,55800,57600,59400,61200,63000,64800,66600,68400,70200,72000,73800,75600,77400
52,757.7,1034.94,1156.24,1268.55,1564.1,1670.54,1894.44,1985.34,2230.57,2238.22,2293.86,2341.78,2614.42,2761.73,2994.75,3157.91,3217.33,3391.92,3544.36,3702.34,3985.88,4201.03,4383.12,4619.32,4917.24,5047.05,5098.88,5268.48,5403.74,5542.19,5821.96,6006.33,6256.0,6489.85,6756.92,6978.29,7042.48,,,,,,
53,869.77,1100.83,1455.16,1715.4,2094.55,2444.81,2815.64,3129.38,3493.53,3865.68,4166.83,4531.56,4844.18,5150.63,5433.09,5783.95,5965.41,6324.42,6610.11,7007.11,7232.73,7597.8,7846.72,8245.64,8626.63,8988.24,9374.14,9625.79,9894.65,10134.11,10511.12,10801.87,11094.18,11382.97,11693.12,11990.95,12430.06,12839.3,13206.78,13616.05,13906.36,,
54,799.5,1163.8,1515.27,1808.07,2160.26,2448.91,2756.48,3117.4,3418.32,3755.63,4066.69,4387.78,4711.5,4981.4,5279.41,5472.85,5726.21,6058.56,6281.18,6576.88,6750.24,6963.7,7230.27,7485.79,7912.7,8298.25,8609.73,8964.68,9288.69,9634.75,9960.93,10192.19,10505.98,10861.06,11151.88,11456.69,11818.85,12240.17,12503.21,12820.2,,,
55,756.13,958.56,1250.47,1452.65,1773.44,2119.7,2442.09,2653.46,2824.41,3041.15,3371.83,3635.01,3926.28,4338.59,4660.47,4871.94,5192.29,5563.33,5907.37,6310.95,6511.95,6726.78,7049.15,7321.98,7566.83,7896.27,8224.08,8409.18,8725.49,9016.71,9273.28,9454.94,9717.82,10122.05,10392.44,10771.47,11175.08,11627.11,11933.46,12160.93,,,
56,841.17,1148.79,1557.32,1805.0,2022.89,2322.44,2710.79,2957.3,3346.55,3629.12,3890.38,4134.89,4413.69,4712.81,5027.14,5417.4,5677.54,6078.7,6421.68,6792.67,7085.51,7297.03,7517.69,7940.16,8302.99,8698.4,9029.16,9327.93,9675.92,9887.14,10360.24,10863.45,11154.16,11546.58,11789.78,12131.58,12601.94,13014.82,13417.79,13819.84,14188.34,,
57,718.98,972.73,1105.38,1193.32,1445.78,1545.58,1629.4,1822.15,1997.46,2155.74,2211.79,2360.86,2576.14,2561.13,2859.67,3206.19,3412.77,3698.7,3863.93,4034.22,4135.7,4239.81,4356.28,4652.82,4998.26,5113.49,5250.91,5221.85,5326.12,5560.39,5700.66,5860.67,6140.58,6344.25,6520.39,6684.21,6957.59,,,,,,
58,818.19,963.23,1117.66,1359.29,1599.95,1757.2,1995.15,2268.74,2527.14,2802.88,2994.78,3184.47,3403.13,3702.21,3901.95,4070.75,4336.94,4546.97,4858.56,5127.24,5478.13,5635.79,5913.61,6151.03,6228.95,6462.16,6608.22,6842.53,7032.71,7145.36,7217.04,7417.59,7578.91,7612.04,7800.9,8068.58,8373.27,8620.05,,,,,
59,835.05,1164.65,1433.75,1817.99,1961.28,2249.98,2540.38,2807.02,3279.97,3588.63,3901.91,4150.01,4584.68,5024.47,5300.72,5634.83,5946.75,6256.05,6626.09,7060.75,7458.98,7900.44,8201.78,8487.1,8752.39,9062.37,9503.53,9783.59,10155.17,10501.94,10793.41,11129.24,11390.11,11575.96,11899.22,12289.75,12534.11,12969.15,13241.48,13606.37,13923.39,,
60,762.78,951.41,1017.21,1313.81,1562.74,1886.55,2052.21,2275.65,2734.92,3071.83,3359.49,3589.22,3762.42,4016.42,4282.21,4464.98,4679.75,5055.02,5350.0,5610.49,5848.61,6042.13,6363.98,6636.58,6950.58,7060.17,7418.05,7709.26,8073.75,8426.64,8665.61,8904.52,9176.55,9434.8,9667.54,10060.64,10428.99,10778.83,11011.73,,,,
61,772.71,982.27,1341.58,1814.04,2179.3,2536.16,2778.68,2991.72,3212.42,3423.38,3783.13,4149.77,4445.76,4775.91,5092.71,5483.47,5820.54,6136.63,6497.64,6805.24,7103.48,7431.24,7700.63,7883.68,8209.07,8530.54,8819.2,9069.42,9336.22,9417.39,9754.14,10132.94,10326.61,10733.15,11100.85,11499.59,11878.55,12169.69,12355.06,12765.03,,,
62,753.5,945.4,1326.17,1688.97,2051.09,2269.94,2575.4,2884.67,3279.29,3597.12,3967.67,4353.57,4846.81,5264.83,5431.13,5753.43,6184.11,6354.12,6853.52,7201.86,7530.65,7828.75,8083.65,8418.25,8846.97,9031.91,9262.63,9654.0,10138.81,10554.65,10875.35,11179.09,11446.96,11862.87,12176.97,12423.22,12648.48,12945.76,13300.54,13684.22,14001.35,,
63,761.83,910.6,944.39,1027.69,1095.71,1377.52,1552.24,1879.8,2038.87,2187.86,2269.02,2367.39,2478.06,2734.02,2896.58,2987.94,3035.98,3190.36,3359.65,3441.56,3554.22,3622.1,3750.78,3813.65,3925.33,4086.51,4299.46,4346.27,4379.1,4447.81,4586.0,4685.69,5103.55,5211.75,5291.14,5462.59,,,,,,,
64,732.58,924.55,1227.91,1455.8,1709.02,1953.4,2348.4,2563.94,2834.37,3113.2,3395.15,3597.11,3850.79,4102.57,4493.49,4664.06,4941.98,5332.47,5629.42,5823.04,6217.49,6454.35,6732.52,6916.23,7113.2,7307.1,7758.72,8075.15,8261.71,8506.62,8754.01,8975.11,9160.69,9456.78,9736.51,9903.89,10190.42,10380.97,10758.47,,,,
65,732.48,1051.44,1292.06,1554.15,1887.37,2195.18,2485.44,2821.35,3050.54,3348.81,3737.68,4052.5,4279.33,4523.02,4788.98,5046.06,5289.85,5604.42,5938.35,6254.07,6508.18,6811.94,7061.67,7418.02,7664.5,7963.3,8298.54,8477.48,8838.79,9129.35,9428.17,9680.6,10079.7,10403.75,10768.51,11110.97,11483.63,11795.29,12047.2,12369.82,,,
