,Order Index,Order-in Time,Rider Index,Rider Arrives at Restaurant,Order Delivered Time,Waiting Time,DT,Time taken before delivery
,298,9049,12,9136.965902,10088.44896,1039.448955,951.4830529,87.96590248
,299,9083,29,9102.79899,9707.154018,624.154018,604.3550281,19.79898987
,300,9107,33,9267.153052,9379.425043,272.425043,112.2719912,160.1530518
,301,9128,23,9348.229426,9541.770119,413.7701192,193.5406934,220.2294258
,302,9157,15,9432.056358,10070.43321,913.4332058,638.376848,275.0563579
,303,9194,17,9334.91132,9549.585491,355.5854913,214.6741717,140.9113196
,304,9214,2,9390.002841,10075.3181,861.3180968,685.3152559,176.0028409
,305,9247,8,9368.334249,9606.655461,359.6554609,238.3212118,121.3342491
,306,9280,6,9482.200396,9859.64973,579.64973,377.4493343,202.2003956
,307,9308,24,9558.798724,10491.76925,1183.769249,932.9705247,250.7987241
,308,9348,14,9412,10107.46675,759.4667497,695.4667497,64
,309,9378,16,9482.388697,10230.59321,852.5932142,748.2045175,104.3886967
,310,9401,32,9621.056811,10299.65537,898.6553667,678.5985558,220.0568108
,311,9426,1,9651.89378,10125.13156,699.1315641,473.2377838,225.8937803
,312,9453,27,9661.117755,9743.797862,290.7978616,82.68010643,208.1177551
,313,9480,11,9525.188494,9991.755745,511.7557454,466.5672513,45.18849411
,314,9508,30,9722.009346,9887.60222,379.6022198,165.5928742,214.0093456
,315,9532,21,9840.058436,10592.08237,1060.082372,752.0239358,308.058436
,316,9560,23,9702.442971,10479.74664,919.746644,777.303673,142.442971
,317,9595,34,9786.668985,10556.26693,961.2669325,769.597947,191.6689855
,318,9625,10,9852.771816,10317.58361,692.5836055,464.8117899,227.7718156
,319,9652,5,10046.21441,10622.74628,970.7462812,576.5318725,394.2144087
,320,9683,18,9982.482888,10409.09981,726.0998118,426.6169242,299.4828877
,321,9717,33,9842.419297,10387.12839,670.1283934,544.7090967,125.4192968
,322,9737,8,10012.13633,10162.36948,425.369482,150.2331521,275.1363298
,323,9763,19,9868.080921,10453.60803,690.6080341,585.527113,105.0809212
,324,9788,17,9974.65744,10133.19135,345.1913483,158.533908,186.6574402
,325,9825,27,10126.39177,10356.41134,531.411336,230.0195644,301.3917716
,326,9856,22,9990.014925,11017.10109,1161.101094,1027.08617,134.0149245
,327,9880,6,10025.83552,10484.33961,604.3396132,458.5040894,145.8355238
,328,9910,20,10149.20702,10495.68935,585.6893461,346.4823228,239.2070233
,329,9940,4,10446.2529,11141.2011,1201.201101,694.9481995,506.2529012
,330,9973,9,10402.77436,11400.72927,1427.729268,997.9549088,429.7743594
,331,10012,30,10350.86428,10854.49113,842.4911256,503.626846,338.8642796
,332,10050,11,10565.66074,11174.97019,1124.970186,609.3094452,515.6607412
,333,10078,15,10221.28294,10603.29472,525.2947168,382.0117799,143.2829369
,334,10120,28,10291.5634,10815.31143,695.3114304,523.748031,171.5633994
,335,10148,1,10391.89547,10805.93049,657.9304921,414.0350227,243.8954694
,336,10174,7,10423.56963,10819.00357,645.0035684,395.4339389,249.5696296
,337,10208,14,10494.70019,10993.14778,785.1477819,498.44759,286.7001918
,338,10239,16,10347.75661,10518.60449,279.6044946,170.8478856,108.756609
,339,10268,17,10645,11053.10415,785.1041534,408.1041534,377
,340,10294,12,10693.3695,11067.25719,773.2571868,373.8876837,399.3695031
,341,10327,31,10454.28315,11151.83601,824.8360143,697.5528654,127.2831489
,342,10353,10,10440.98295,10869.92817,516.9281708,428.9452179,87.98295289
,343,10392,32,10618.24102,11436.98701,1044.987014,818.7459924,226.2410219
,344,10422,25,10946.2032,11363.51005,941.5100464,417.3068415,524.2032049
,345,10448,33,10547.31767,10924.38663,476.3866314,377.0689592,99.31767214
,346,10479,2,10620.35417,10963.72714,484.7271402,343.3729751,141.3541651
,347,10510,24,10522.20656,11175.79358,665.7935812,653.5870256,12.20655562
,348,10535,29,10738.74739,10919.90478,384.9047828,181.1573901,203.7473926
,349,10566,16,10684.25819,11001.35755,435.3575456,317.0993535,118.2581921
,350,10609,23,10648.35734,11106.0308,497.0308017,457.6734644,39.35733731
,351,10647,18,10732.61542,11103.84715,456.8471527,371.2317336,85.61541917
,352,10672,20,10916.2949,11835.85676,1163.856756,919.5618522,244.2949038
,353,10709,19,10801.22798,11449.83263,740.8326346,648.6046562,92.2279784
,354,10736,34,10835.08078,11518.23961,782.2396146,683.1588395,99.08077513
,355,10779,6,10863.21401,11608.73732,829.7373192,745.5233061,84.21401309
,356,10818,21,10918.56838,11511.90556,693.905557,593.3371723,100.5683847
,357,10840,8,11014.63104,11293.23111,453.2311114,278.6000718,174.6310396
,358,10863,30,10920.00877,11404.80151,541.8015105,484.7927392,57.00877125
,359,10890,1,11024.41726,11184.41726,294.4172608,160,134.4172608
,360,10918,26,11182.00758,11515.08114,597.0811411,333.0735654,264.0075756
,361,10951,13,11091.91842,11914.80176,963.8017614,822.8833453,140.9184161
,362,10976,7,11024.75449,12078.19267,1102.192667,1053.43818,48.75448697
,363,11009,10,11090.3941,11365.19767,356.1976692,274.8035662,81.39410298
,364,11031,14,11249.66184,11599.99454,568.9945384,350.332699,218.6618394
